Suburb,Street
"Burnt Bridge, Dondingalong, South Kempsey","Gowings Hill Road, Middleton Street"
"Buronga, Coomealla, Curlwaa, Dareton, Mourquong, Wentworth","Silver City Highway, Tapio Street, Wentworth Street"
"Buronga, Gol Gol, Mallee, Monak, Paringi, Trentham Cliffs","Adelaide Street, Hendy Road, Sturt Highway"
"Burradoo, Moss Vale","Argyle Street, Moss Vale Road"
"Burrill Lake, Ulladulla",Princes Highway
"Burrill Lake, Woodburn",Princes Highway
"Burrumbuttock, Jindera, Walbundrie",Urana Road
"Burrundulla, Mudgee","Castlereagh Highway, Douro Street, Horatio Street, Market Street, Sydney Road"
Burwood,Burwood Road
"Bushells Ridge, Jilliby, Kiar, Wallarah",Motorway Link
Byron Bay,Bangalow Road
"Bywong, Lake George",Federal Highway
"Bywong, Sutton",Federal Highway
Cabramatta,Cabramatta Road
"Cabramatta West, Mount Pritchard",Cabramatta Road
